frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d,position_3d_meters,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
1178,1210,435,0.4,LK,971,403,0.632969856262207,YOLO,"[1965.007638707388, -730.8197236810662, 9066.733755580119]","[1.965007638707388, -0.7308197236810662, 9.066733755580119]","[2415.3009781070004, 875.8359135684441]",2.135251234986186,"[1941.1946240420648, 799.6273371254761]",3.911438940042797,False
1182,1108,459,0.4701980054378509,YOLO,1077,432,0.7920382618904114,YOLO,"[960.307482822268, -528.4557708203573, 9524.765791892678]","[0.960307482822268, -0.5284557708203573, 9.524765791892678]","[2215.036167969594, 915.7777763273247]",1.6388291337787133,"[2154.677159203211, 868.8860431382021]",2.7521418046643746,False
1183,1107,458,0.4,LK,1078,433,0.4,LK,"[949.3441088384595, -531.0920273243839, 9528.974065444174]","[0.9493441088384595, -0.531092027324384, 9.528974065444174]","[2212.9713070754096, 915.3768759786533]",0.7145395259957774,"[2156.519013855692, 868.2913805601409]",1.1989844878076124,False
1191,978,504,0.4,LK,1261,500,0.8276185989379883,YOLO,"[-530.976802806217, 23.754492640297663, 10784.105854143969]","[-0.5309768028062171, 0.023754492640297664, 10.784105854143968]","[1955.7586472575908, 1007.4912332689304]",0.3688621596445355,"[2527.9610482455687, 1002.6090358234063]",0.6081553611260876,False
1193,937,518,0.6232188940048218,YOLO,1292,515,0.4,LK,"[-1073.5794288503887, 204.44063112506785, 11045.073629226117]","[-1.0735794288503886, 0.20444063112506786, 11.045073629226117]","[1872.8867062172396, 1033.417642801394]",1.949365137397251,"[2591.854116799008, 1036.8623104768053]",3.107707608504364,False
1194,937,516,0.4,LK,1309,523,0.8123478889465332,YOLO,"[-1084.9954067560493, 226.85641852171844, 11192.526357260092]","[-1.0849954067560492, 0.22685641852171845, 11.192526357260093]","[1873.3369233249541, 1036.2141125688584]",2.6776122784271745,"[2627.649635606505, 1042.634719715134]",4.351881022220274,False
1243,733,479,0.7826771140098572,YOLO,1435,446,0.4,LK,"[-4305.691341932251, -439.9953592530766, 12687.036420483366]","[-4.305691341932251, -0.4399953592530766, 12.687036420483366]","[1454.4439993508888, 948.8502270433921]",8.257082998809823,"[2890.967851213922, 908.6846034343207]",11.469006367566557,False
1246,744,467,0.4,LK,1373,425,0.5048878788948059,YOLO,"[-3895.1444562956217, -648.39813719924, 11957.919480430239]","[-3.895144456295622, -0.64839813719924, 11.957919480430238]","[1478.0109787691792, 917.7794002682442]",12.627913652972877,"[2760.6916315790345, 873.4657323573272]",16.714617162451596,True
1248,775,452,0.3764563202857971,YOLO,1331,413,0.8014023900032043,YOLO,"[-3303.0832942594984, -809.896749556262, 11458.394217537983]","[-3.3030832942594985, -0.809896749556262, 11.458394217537984]","[1542.7531202960095, 891.6124957830228]",9.043839606645772,"[2672.931045105505, 843.3630623678165]",11.925270876587762,True
1249,784,446,0.4,LK,1309,406,0.840351939201355,YOLO,"[-3111.4132625845814, -882.707405452957, 11217.676269616482]","[-3.1114132625845814, -0.882707405452957, 11.217676269616483]","[1561.5874806020379, 878.8814463807115]",9.256951466721162,"[2627.4852956251443, 829.7429983604444]",12.06418654488379,True
1255,846,409,0.5539944171905518,YOLO,1172,371,0.7728114128112793,YOLO,"[-1997.9497859883536, -1233.3897633270847, 9838.113443620043]","[-1.9979497859883535, -1.2333897633270847, 9.838113443620042]","[1689.9386927322703, 804.6655857603153]",8.02896398204898,"[2348.0072946840055, 758.0398123410201]",9.722455292123215,True
1256,846,409,0.4,LK,1173,371,0.4,LK,"[-2000.0470802841296, -1233.9289132022834, 9848.035498378107]","[-2.0000470802841295, -1.2339289132022835, 9.848035498378108]","[1689.9242536569727, 804.7793652102912]",7.968320319317623,"[2350.015878788089, 757.924418828016]",9.661032092152299,True
1259,895,384,0.7483726143836975,YOLO,1099,356,0.4,LK,"[-1340.3678826465414, -1394.7635281403304, 9193.117359242848]","[-1.3403678826465413, -1.3947635281403303, 9.193117359242848]","[1788.911490817057, 762.7721603581607]",3.0690340233627733,"[2199.6553597463485, 718.80075445222]",3.6308628475743845,False
1263,954,357,0.8015046715736389,YOLO,972,334,0.8039777874946594,YOLO,"[-616.2218408488442, -1537.9783906141467, 8114.617035334156]","[-0.6162218408488441, -1.5379783906141467, 8.114617035334156]","[1909.620683242987, 702.6522576083028]",6.188053396297021,"[1947.1790574336205, 681.7840226147104]",6.659557630592769,False
1264,954,357,0.4,LK,945,330,0.6350889801979065,YOLO,"[-585.4112878380325, -1538.624175973623, 7858.92510626815]","[-0.5854112878380325, -1.538624175973623, 7.85892510626815]","[1912.125590812123, 692.7175484402745]",10.892555088001195,"[1895.853176877782, 683.2289739928583]",11.22661190465803,True
1271,1083,309,0.4,LK,748,309,0.7549100518226624,YOLO,"[495.96589406092437, -1646.8899046227195, 6364.804508865625]","[0.4959658940609244, -1.6468899046227194, 6.3648045088656255]","[2175.470515730358, 592.6030796926317]",12.116543388108466,"[1507.59051626487, 644.0816224390377]",10.612497179706345,True
1290,1600,167,0.4,LK,117,319,0.4880257844924927,YOLO,"[4466.284863209575, -1777.1154516610736, 6017.798954862045]","[4.466284863209575, -1.7771154516610737, 6.017798954862045]","[3323.1955581182465, 534.4756901850348]",87.32879927647146,"[422.24950155601533, 346.8759513640811]",134.52418307357433,True
1406,1092,528,0.4,LK,117,418,0.8217029571533203,YOLO,"[-705.4980676862359, -537.2583871671043, -7772.767844190479]","[-0.7054980676862359, -0.5372583871671043, -7.772767844190479]","[2197.6596665056873, 1113.8840104874103]",-28.16176446573792,"[219.5918785066958, 879.7284038604721]",-16.36404224368375,True
1411,1793,409,0.8543787002563477,YOLO,283,451,0.3857709467411041,YOLO,"[2686.9544298838046, -324.735414170192, 3100.873886561691]","[2.6869544298838046, -0.32473541417019197, 3.100873886561691]","[3538.0278611667463, 837.4885899632736]",0.4231343029396803,"[544.4521750119275, 907.0448377170703]",0.2032242964237897,False
1412,1730,425,0.8024829626083374,YOLO,284,454,0.4,LK,"[3065.2164246201514, -317.55213323081824, 3822.7028649598064]","[3.0652164246201514, -0.31755213323081827, 3.8227028649598065]","[3426.288912432316, 871.9159592953517]",1.9177773092952977,"[547.3266893494737, 909.0673704107469]",1.2480697080081027,False
1418,1452,505,0.8721054792404175,YOLO,486,503,0.8332117199897766,YOLO,"[2824.859168698305, 39.094900760792925, 5742.25883918963]","[2.824859168698305, 0.039094900760792924, 5.742258839189629]","[2890.8271904240773, 1014.813596822816]",0.12754307630304781,"[964.7404391729079, 1009.3819333507938]",0.1353249303854046,False
1419,1416,516,0.8526369333267212,YOLO,490,503,0.4,LK,"[2315.494370430976, 94.17144728805323, 5134.985919255695]","[2.315494370430976, 0.09417144728805323, 5.134985919255695]","[2819.9565818348133, 1033.146590936194]",0.7874783037115938,"[972.4689385701147, 1011.6983138585332]",0.665769488183768,False
1421,1857,501,0.5978995561599731,YOLO,565,527,0.7648739218711853,YOLO,"[172063.931190987, -9414.796376872868, 186932.07944842847]","[172.063931190987, -9.414796376872868, 186.93207944842848]","[3631.239531708638, 923.9140737023887]",1095.0184339911311,"[1147.2861039022775, 974.3341507641716]",998.8991314667625,True
1422,1326,547,0.7862783074378967,YOLO,564,527,0.4,LK,"[1918.9076541661616, 308.6321002355381, 5495.41076299983]","[1.9189076541661616, 0.30863210023553805, 5.49541076299983]","[2644.163996644297, 1093.2807840191062]",0.877566633556977,"[1123.7712991787669, 1059.0259797719827]",0.7656702512424589,False
1424,1273,567,0.8224528431892395,YOLO,638,553,0.8133573532104492,YOLO,"[1779.1216815690145, 504.0847266638452, 6147.170725726769]","[1.7791216815690145, 0.5040847266638452, 6.147170725726769]","[2540.904333387249, 1134.3653036467579]",0.2846382478422361,"[1274.025061381239, 1108.8192642377956]",0.28229782365496053,False
1425,1273,566,0.4,LK,638,553,0.4,LK,"[1780.8893526592535, 500.03717750790264, 6150.121775787898]","[1.7808893526592535, 0.5000371775079027, 6.150121775787897]","[2541.1609960473784, 1133.2563908892025]",0.06346533461807766,"[1274.2653356044561, 1107.957279368465]",0.06299151355619508,False
1427,1206,596,0.7964836955070496,YOLO,708,579,0.7679703831672668,YOLO,"[1388.8274036394735, 763.1251550108258, 6525.380384245587]","[1.3888274036394734, 0.7631251550108258, 6.5253803842455875]","[2408.5754199650005, 1189.923606437421]",1.14875888341441,"[1414.2415805075937, 1162.289736657595]",1.168990597755183,False
1428,1186,605,0.4458664357662201,YOLO,705,578,0.4,LK,"[1201.782808103481, 803.5118003413637, 6340.41370370339]","[1.2017828081034811, 0.8035118003413637, 6.34041370370339]","[2368.331668744057, 1205.4750283222584]",2.1095906263735857,"[1407.591021281462, 1162.4282495120206]",2.0145598318265696,False
1429,1167,615,0.395314484834671,YOLO,751,599,0.8051339983940125,YOLO,"[1141.0634645377868, 958.3074545676067, 6776.636510804493]","[1.1410634645377868, 0.9583074545676067, 6.776636510804493]","[2331.768420526065, 1228.8224496162175]",0.8467521082266412,"[1500.6334124980085, 1201.353285164588]",0.8762355483448009,False
1430,1149,623,0.4,LK,750,598,0.4,LK,"[978.6251406747639, 997.0003116956674, 6645.184561458194]","[0.9786251406747639, 0.9970003116956674, 6.645184561458194]","[2295.2874837194972, 1242.527499696318]",1.8594436611600285,"[1497.9401110705776, 1201.5801468598181]",1.8346702392652878,False
1434,1084,658,0.7567216157913208,YOLO,854,646,0.839505136013031,YOLO,"[540.1617560466476, 1457.5632050809613, 7440.237252013651]","[0.5401617560466476, 1.4575632050809613, 7.4402372520136515]","[2166.2730359974094, 1315.4551126753743]",1.2137023790881498,"[1706.6526764251382, 1296.2497275434023]",1.316745307377821,False
1435,1069,666,0.4,LK,872,655,0.4,LK,"[417.4349671333698, 1559.5420461422755, 7557.4106987805635]","[0.4174349671333698, 1.5595420461422755, 7.557410698780563]","[2136.269365354018, 1332.079946914615]",1.1171190736591143,"[1742.8072642109971, 1314.1711173080055]",1.2185320974131548,False
1438,1473,503,0.5352715849876404,YOLO,903,636,0.4,LK,"[5244.013019714107, 65.87431931537525, 10157.62364553616]","[5.244013019714107, 0.06587431931537524, 10.157623645536159]","[2932.8509374472756, 1014.2999485211021]",2.184744469664107,"[1811.5690105527767, 1253.943802545285]",12.83263679778755,True
1442,1020,622,0.8289225697517395,YOLO,933,610,0.4,LK,"[-13.224634835517243, 1182.7011019742845, 7964.89199368208]","[-0.013224634835517243, 1.1827011019742846, 7.96489199368208]","[2037.9632123363158, 1240.0723446165462]",2.7009307347572022,"[1864.6674588667006, 1226.6441744875833]",3.0131469958143176,False
1443,1018,622,0.4,LK,948,595,0.7948195338249207,YOLO,"[-48.25028477927384, 1118.4812182216092, 8083.18901710641]","[-0.04825028477927384, 1.1184812182216093, 8.08318901710641]","[2030.5182314105912, 1223.9857244422615]",10.840750603350402,"[1891.295081888006, 1214.396989079868]",12.329860372359066,True
1503,1074,479,0.4965830147266388,YOLO,964,451,0.6790010333061218,YOLO,"[525.558456986115, -320.1512792342708, 8473.821388712106]","[0.5255584569861149, -0.32015127923427084, 8.473821388712105]","[2147.9948703586247, 943.9207204014614]",7.370285789955183,"[1928.8136833088843, 920.3482317273476]",9.694907547381185,True
1504,1071,481,0.4,LK,963,450,0.4,LK,"[495.7687755718516, -313.4774730460863, 8454.32389458808]","[0.4957687755718516, -0.3134774730460863, 8.45432389458808]","[2142.153804319466, 945.0372504953815]",8.824287022233081,"[1927.00787891153, 921.8284751354513]",11.51923251758582,True
1512,1266,431,0.7217655777931213,YOLO,750,402,0.4,LK,"[2107.4369847006683, -693.2415601703098, 7491.765297970644]","[2.1074369847006684, -0.6932415601703098, 7.491765297970644]","[2526.8729777722747, 856.8695311871581]",3.674623605685068,"[1502.8012386789562, 815.6662671354661]",5.088364666170701,False
1514,1317,422,0.7993046641349792,YOLO,658,388,0.7608632445335388,YOLO,"[2360.372389084768, -751.7286633788807, 6924.268587341191]","[2.3603723890847683, -0.7517286633788807, 6.924268587341191]","[2629.8235496365487, 831.3825691328802]",7.1957363764175195,"[1322.3035891025663, 797.7289110967923]",9.204051374446584,True
1515,1317,422,0.4,LK,625,383,0.751011848449707,YOLO,"[2252.7037463575466, -760.9532098840788, 6549.962033979564]","[2.2527037463575468, -0.7609532098840788, 6.549962033979564]","[2635.080018110095, 819.2796176087114]",12.043458742419164,"[1261.07657346837, 799.4177047951539]",13.91515403002165,True
1516,1370,415,0.4672244787216186,YOLO,590,380,0.8506160378456116,YOLO,"[2668.1876429618055, -782.6925340168518, 6629.653606780316]","[2.6681876429618057, -0.7826925340168518, 6.629653606780316]","[2736.221243927841, 816.2864627405532]",8.113314080420817,"[1188.408429102099, 784.2133673231441]",10.210908573733189,True
1517,1397,411,0.6718891263008118,YOLO,554,375,0.8320454359054565,YOLO,"[2815.063969385073, -802.254767724324, 6476.597693815174]","[2.815063969385073, -0.802254767724324, 6.476597693815174]","[2791.838650351305, 807.0484315294591]",9.079464879987947,"[1118.6534693579822, 776.1739550957466]",11.287797317932581,True
1518,1426,407,0.7909796833992004,YOLO,517,371,0.5587648153305054,YOLO,"[2978.141282343956, -817.2271624465386, 6344.096805021216]","[2.978141282343956, -0.8172271624465386, 6.344096805021216]","[2851.9385877462, 799.182940313269]",9.77917635851253,"[1047.2158303875706, 768.6407457995263]",12.089803203184072,True
1519,1456,404,0.7303218245506287,YOLO,478,367,0.4,LK,"[3169.4718935351702, -827.5649231863132, 6253.927070242581]","[3.1694718935351704, -0.8275649231863131, 6.253927070242581]","[2916.4940404754484, 793.6019138692341]",11.180718351554185,"[974.5462625700533, 761.0209270217284]",13.929744857944963,True
1520,1456,403,0.4,LK,437,365,0.6454157829284668,YOLO,"[3096.177145395731, -829.3298865221935, 5908.265487296959]","[3.096177145395731, -0.8293298865221935, 5.908265487296958]","[2946.289830463822, 780.8183164717885]",21.4014777200701,"[919.6397464790876, 765.488174562236]",23.8511602973599,True
1525,1659,388,0.5017409324645996,YOLO,209,354,0.7975722551345825,YOLO,"[4757.726001944752, -833.2684635339513, 6532.643525274031]","[4.757726001944752, -0.8332684635339512, 6.532643525274032]","[3299.2151392593546, 801.1900072917532]",6.457296198731913,"[417.44470260282765, 689.2924471379886]",12.37019424137376,True
1526,1697,388,0.7242199182510376,YOLO,209,354,0.4,LK,"[4511.4224409405615, -814.3800314020941, 5920.598129506175]","[4.511422440940562, -0.8143800314020941, 5.920598129506175]","[3357.42134043408, 785.2977748329616]",2.0939599617180606,"[394.345263121354, 720.5852177001838]",3.242536611423308,False
1528,1778,385,0.8026478886604309,YOLO,51,353,0.5211696624755859,YOLO,"[4962.532196307223, -776.8236230417289, 5831.287505659514]","[4.962532196307223, -0.7768236230417289, 5.831287505659514]","[3511.251670841039, 792.1881066663575]",1.7337063497467682,"[126.96791969394981, 715.146121052389]",2.909920014867207,False
1529,1822,385,0.799939751625061,YOLO,50,353,0.4,LK,"[4818.901610885557, -758.669102606742, 5401.049818274855]","[4.818901610885557, -0.7586691026067419, 5.401049818274855]","[3582.434110859979, 780.660554096718]",3.360561877110188,"[117.43866433261623, 735.9927465880085]",4.844487575668483,False
1636,1888,473,0.7345018982887268,YOLO,150,479,0.7189280986785889,YOLO,"[4001.369095450233, -106.78658848336276, 4165.126226785917]","[4.001369095450233, -0.10678658848336277, 4.165126226785917]","[3700.735593774223, 963.2268172031431]",0.3233123059474598,"[282.8491316773915, 969.7543336850653]",0.2713308825779783,False
1637,1813,479,0.8598098754882812,YOLO,220,483,0.7439166903495789,YOLO,"[3590.545883414071, -75.95470015057721, 4041.1712690187883]","[3.590545883414071, -0.0759547001505772, 4.041171269018788]","[3575.9990646585975, 974.1065731681509]",0.1824071965336638,"[416.145951924858, 974.2942174210061]",0.13725974312301525,False
1638,1741,483,0.8544808626174927,YOLO,219,483,0.4,LK,"[4032.5290594028593, -93.23551628317257, 4953.985204196266]","[4.032529059402859, -0.09323551628317257, 4.9539852041962655]","[3447.2849947735995, 974.0666881498499]",1.4043592247320265,"[414.4968537504075, 979.6575422431591]",1.4940811281995632,False
1641,1552,500,0.8374247550964355,YOLO,446,500,0.6433759331703186,YOLO,"[4907.868222017677, -66.79162633874066, 8153.868268294879]","[4.907868222017677, -0.06679162633874065, 8.153868268294879]","[3080.8279058836015, 990.9655885768354]",8.299334545284644,"[867.2922703423797, 1050.709631841636]",24.858675101266304,True
