frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected
1412,1730,425,0.8024829626083374,284,454,0.4,"[2969.5463508608177, -343.70925116566167, 3389.2099214312007]","[3444.949965574916, 870.4245033189836]",2.609496965331844,"[544.0317540443448, 907.244471970886]",1.445954828202631,False
1418,1465,498,0.7486438803823434,486,503,0.8332117199897766,"[3347.4733255933984, -76.84272877230865, 5907.244389994657]","[2927.5300452282745, 1010.5043806523174]",4.260313423806483,"[965.5097966987408, 996.3521228255424]",5.045340241229527,False
1419,1427,510,0.7695098470989923,490,503,0.4,"[2724.6533021627024, -3.2976613170654305, 5230.713680514401]","[2851.000651916967, 1030.1173641677126]",2.472481076877296,"[972.4362304899679, 1002.8703256046201]",2.2428914249244074,False
1420,1385,527,0.8559775948524475,533,518,0.6649990920263368,"[2586.927778775516, 110.65562055458538, 5491.735809625245]","[2767.6848782037396, 1063.0438148074202]",2.423851374565607,"[1061.1041414998306, 1032.685703275677]",2.2880804975156455,False
1421,1857,501,0.5978995561599731,565,527,0.7648739218711853,"[90750.78465438994, -5729.951790095466, 90814.24350343921]","[3650.7862117101095, 931.1398019564817]",467.63852621481277,"[1142.0084073449943, 984.9848770125169]",423.70333233349584,True
1422,1326,547,0.7862783074378967,564,527,0.4,"[2137.3384821749214, 231.7541401947666, 5335.397383492189]","[2649.887900156275, 1099.9437786702283]",1.5208181717702465,"[1123.9420985206477, 1053.0403326353628]",1.2922843217754882,False
1433,1099,649,0.7829315191403073,833,636,0.6664853611069185,"[931.1886890887033, 1229.301206577571, 7064.866280126854]","[2200.531886098865, 1306.828129188785]",3.7523519787896187,"[1667.8195932809615, 1265.2379228231214]",3.843591193496587,False
1434,1084,658,0.7298400636948805,853,646,0.7401169535179237,"[820.0745220921142, 1334.788236113296, 7199.608188391588]","[2170.606968071298, 1324.8843389591116]",3.790658832953995,"[1707.9730151865724, 1285.3232924654562]",3.919993279150973,False
1520,1456,403,0.4,437,365,0.6454157829284668,"[3191.837430461175, -877.2878165951387, 5494.167233006118]","[2951.398949490314, 778.1042549316592]",18.889314213505607,"[906.571587275003, 762.8973508606767]",18.792188302941113,False
1521,1456,403,0.3,395,362,0.8380325436592102,"[3401.2028845474297, -883.5164397375146, 5584.446624434345]","[2998.3741284044004, 780.4271928295217]",33.62026997686108,"[867.6324296921118, 754.3011903858783]",34.36454673087543,True
1525,1659,388,0.5017409324645996,209,354,0.7975722551345825,"[4840.869057518628, -884.6242529386592, 6041.601183046298]","[3319.69985658713, 799.1057365195676]",8.027087093840262,"[419.43749080072917, 686.2928281768279]",13.404816459532476,False
1526,1697,388,0.7242199182510376,209,354,0.4,"[4579.254910712342, -861.2875405126301, 5482.893685793184]","[3376.4288467763354, 782.2080378732583]",0.8604586955300301,"[395.487757397745, 716.37559904826]",1.1761932390415808,False
1527,1736,386,0.8070696592330933,209,354,0.3,"[4347.692276621913, -847.5153152421684, 4996.764574474799]","[3434.7937997609856, 762.3593880063861]",7.754988379345536,"[380.0535040752475, 735.7622494488019]",8.907371026091493,False
1528,1778,385,0.8026478886604309,51,353,0.5211696624755859,"[5016.466756824758, -820.9606956033879, 5406.775942711036]","[3531.2710832574444, 790.5222049442625]",3.385352964625862,"[141.2121915421711, 710.5929830408251]",5.068888747664823,False
1529,1822,385,0.799939751625061,50,353,0.4,"[4852.714953894228, -799.3350227310616, 5003.879114942419]","[3601.4512070367327, 777.9983141746701]",1.8860088842438432,"[131.2773419563787, 731.5181044230762]",2.4330141653301953,False
1530,1866,385,0.8342494964599609,50,353,0.3,"[4714.726339835086, -780.9451412387747, 4668.611962134074]","[3668.4673851775037, 766.0626900015834]",6.334402005415376,"[124.94354650047447, 746.9949617751932]",7.2104447604909145,False
1636,1888,473,0.7345018982887268,150,479,0.7189280986785889,"[3995.261117043391, -153.85892399823513, 3845.315084776473]","[3717.1442446309884, 967.7159534090679]",2.197390415296279,"[283.29210822499647, 961.1487369219723]",1.6765579724906812,False
1637,1813,479,0.8598098754882812,220,483,0.7439166903495789,"[3574.627120895586, -121.30613198442752, 3706.98072594128]","[3592.265680413137, 979.2645677467829]",2.5936851715259976,"[412.8213300467151, 966.7863872321471]",1.7592128519276855,False
1638,1741,483,0.8544808626174927,219,483,0.4,"[4065.997901205073, -149.08122082676647, 4583.365448178192]","[3463.2458654216944, 979.5769074064314]",1.5670639942671856,"[411.01039540928485, 969.088377096178]",1.5135853627357934,False
1639,1754,475,0.4,219,483,0.3,"[3964.1832329849617, -163.83531457309346, 4399.005078427139]","[3486.707342438086, 972.1024540290905]",3.715556513333135,"[410.6224035151706, 962.3170201671197]",3.340750405504433,False
1641,1552,500,0.8374247550964355,446,500,0.6433759331703186,"[5277.394818770075, -170.2626857831049, 7907.623358426739]","[3095.8909308938455, 996.9990308348515]",3.782440963023055,"[873.7792579719546, 1026.3771975153502]",11.493109917982816,False
1642,1498,506,0.8596177101135254,497,503,0.8269669085816331,"[4164.0703424756475, -87.59869671279219, 6895.0866960578915]","[2989.7967134034707, 1010.985617558141]",2.0188169229992776,"[984.1690369419931, 1017.3971628341639]",3.5420537300751396,False
1643,1447,511,0.4,534,509,0.4397749602794647,"[3512.0897694595587, -24.987240212027864, 6458.97019595535]","[2889.2151605339677, 1024.98638248869]",0.025337695281910814,"[1061.8645827959228, 1020.8704745049263]",0.03511081085020492,False
1644,1447,511,0.3,534,508,0.4,"[3510.138671901243, -27.970323520606186, 6456.405269274077]","[2889.0710883597444, 1024.251838493547]",0.2743094640633575,"[1061.7096870381306, 1019.857171039833]",0.37981216912873783,False
1645,1354,524,0.8552461862564087,534,508,0.3,"[2218.040962359588, 75.48857147042759, 5115.325201673923]","[2705.074905358908, 1054.4997899266866]",1.511821370191876,"[1062.5118404702448, 1015.1802237384386]",1.2351185947258456,False
1646,1329,527,0.7677726792717166,653,523,0.5752363801002502,"[2669.730188827961, 107.43925378625887, 6617.10273900164]","[2654.674431776941, 1056.8437322552884]",0.5324147215333523,"[1304.2746848703932, 1046.047239779436]",0.6550110651821814,False
1647,1268,525,0.4,687,529,0.7045960426330566,"[2165.259498739956, 139.65110603600664, 6515.675401255021]","[2535.7385264590944, 1065.0777478376308]",5.763597773088857,"[1374.9280441814742, 1043.9653025827379]",6.392469295688509,False
1648,1268,525,0.3,687,528,0.4,"[2163.8069508801964, 135.86047587048853, 6513.777404319706]","[2535.527606548362, 1064.1655404285116]",5.384274487360305,"[1374.7434901566357, 1042.9634442258093]",5.9690374783814155,False
