frame_no,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
1418,216,478,0.7319273722982564,1653,502,0.4339936673641205,"[-3369.2340437402822, -215.96686069761574, 3887.837865775846]","[425.4035241566034, 986.2498305772424]",7.131209054742946,"[3308.409477830735, 986.7290680014545]",4.639473021299033,False
1419,149,497,0.8393521308898926,1648,503,0.4,"[-2815.9180796859723, -126.14639671279024, 2996.1419614377523]","[298.21932680944514, 1008.2212197865903]",2.476134714605248,"[3298.358256974743, 1001.8563052632442]",1.0965533378561536,False
1420,97,511,0.8378792405128479,1726,521,0.69700688123703,"[-3809.2891948408283, -61.352549509927904, 3844.5423984137556]","[209.68570022523895, 1050.94141748645]",6.572639014876094,"[3455.5694536573765, 1025.7659046975975]",4.499119184401486,False
1421,43,525,0.8739617466926575,1739,526,0.7984272359164586,"[-3773.2842294238512, -1.5235293903980192, 3628.3769836836127]","[124.4088556683253, 1076.3312132701626]",5.618632734314055,"[3480.3823002782738, 1038.9009160334142]",3.560450413903382,False
1422,30,529,0.735508568562059,1739,525,0.4,"[-3732.9435170082356, 6.454866658671413, 3550.9382855867125]","[104.75395335538897, 1079.9875839824674]",4.5711565401540435,"[3479.9109618969196, 1039.9076103632947]",2.803800372388712,False
1520,37,389,0.8152908086776733,1827,360,0.8057796955108643,"[-4578.993456698344, -913.8600609001954, 4449.859710027952]","[143.36765818544174, 741.4460892004586]",13.904757888306897,"[3647.466871753737, 769.642694155535]",13.204064101910824,False
1521,84,389,0.8041741251945496,1768,363,0.8369409441947937,"[-4352.620196038434, -931.8720203624081, 4427.618485952413]","[223.1771204041581, 733.1131652147918]",16.128063500477143,"[3555.7925442833557, 773.7158425863921]",14.630627980640057,False
1522,83,388,0.4,1713,366,0.7625335454940796,"[-3988.2290541838784, -932.7186801152251, 4121.462016196277]","[249.8990397431921, 707.2311067643716]",24.08964459452331,"[3473.5667737084536, 788.8259549893654]",18.912512835708366,True
1523,83,388,0.3,1661,369,0.8516464829444885,"[-3663.8752321728584, -932.0092222396023, 3897.8386823115325]","[297.9968897174911, 686.3134702135707]",34.35825264757235,"[3401.9620859446363, 800.6100059750731]",24.36641039333268,True
1527,327,403,0.7756350040435791,1482,385,0.8446476459503174,"[-5274.462478671003, -1015.562875985443, 7631.384833349328]","[730.0903030570663, 859.5696257158477]",44.50489452671446,"[3159.1923715035446, 640.7105506037058]",115.10148204900668,True
1528,326,402,0.4,1444,389,0.6900387406349182,"[-6139.407574308891, -1050.4285847467172, 8821.763737946829]","[721.78132346028, 882.4533342367063]",57.627814037077044,"[3235.2880161861467, 419.56885823396334]",280.50384593153564,True
1529,394,408,0.7950153946876526,1443,393,0.4,"[-4732.73670868704, -993.0253815364537, 7453.590422078521]","[827.6732472160334, 859.323465312984]",26.33256687041955,"[2960.9580229512853, 701.9407256260147]",55.61838684500782,True
1530,425,411,0.7823473215103149,1443,393,0.3,"[-4222.34016977868, -972.7604802127997, 6950.849271714436]","[875.435361234075, 848.3419492320628]",14.702407800753509,"[2918.117400780449, 747.7119749150914]",24.432561164015965,False
1531,455,415,0.7385855317115784,1336,404,0.8302398324012756,"[-4636.892541748532, -983.3432543768945, 8069.764710774725]","[932.4916732058099, 877.906153826415]",24.95390551174775,"[2712.784642073069, 703.8704435307892]",59.15200763528921,True
1557,964,554,0.7607194515595167,806,570,0.7215195799171936,"[-18.503388339547694, 246.34794400536697, 9585.250295861979]","[1926.9656508182652, 1119.0122432319833]",6.470758743506025,"[1610.9337577690533, 1125.4091513999767]",8.85677492632124,False
1558,976,561,0.7486279224055142,794,577,0.7488728513810099,"[115.0099921505347, 325.3898255102269, 9668.385523200435]","[1950.9750505399556, 1132.0095491585225]",5.940064253335094,"[1587.0286300119487, 1140.7789059237407]",8.093876803149302,False
1559,988,567,0.6981495332093393,782,585,0.7918819624601455,"[249.79641904280342, 404.5036879340491, 9755.042257275081]","[1974.785719069622, 1144.7728348836297]",6.461785809901072,"[1562.8958108272086, 1155.7939817365013]",8.768695885816314,False
1560,1000,573,0.6863827583780918,777,585,0.4,"[388.3241339601171, 448.03713918696116, 9775.771819523921]","[1999.299314555319, 1151.9056732465424]",3.562728853270264,"[1553.6248194900006, 1162.2852753194206]",4.769145236564812,False
1561,1012,580,0.650069349514496,759,600,0.7881059163488464,"[527.1185341216574, 569.4680684605338, 9925.614682200834]","[2022.540984035289, 1170.765596060182]",6.60676246897535,"[1516.874691657463, 1185.8262046377179]",8.882757976730266,False
1641,412,498,0.5840811133384705,1563,508,0.7847017645835876,"[2006.1258078803542, 178.5979635702479, -3115.82062287027]","[812.2337958845648, 983.3570494770879]",-3.5766729957620655,"[3126.9287676253175, 1014.4390614462864]",-0.8316712229303832,False
1642,357,501,0.7973644137382507,1619,512,0.4499663710594177,"[-6049.643000721063, -336.1111262126236, 8642.582027950748]","[714.7618407665037, 1013.4709513049337]",5.934501293471758,"[3245.9926282670244, 980.0062380333964]",25.097866915405383,False
1643,294,505,0.8475607633590698,1620,505,0.4,"[-3598.269560716328, -166.73893238787795, 4640.964354342562]","[583.9175434455803, 1018.3116370611862]",2.2890423832787032,"[3241.352287027223, 1005.0159712125972]",1.920710016337969,False
1644,233,510,0.7966560125350952,1740,525,0.8199535012245178,"[-4824.797216233502, -136.8996387656035, 5705.609167701307]","[461.8454558421043, 1037.8113994978557]",6.1534083883324655,"[3483.1907735758105, 1028.7408321251278]",8.549768437412162,False
1645,165,515,0.8414634466171265,1810,533,0.7675589919090271,"[-4902.771500244011, -83.13679307473694, 5320.613181329691]","[330.1383248406648, 1051.4854295738355]",6.86481472128722,"[3609.0144945100124, 1042.8749269456239]",8.758407493968376,False
1646,89,522,0.8582605719566345,1809,533,0.4,"[-4550.487110130336, -26.899431355017526, 4556.948307300989]","[196.22427225910477, 1067.3719149191015]",6.295011837173212,"[3606.7051420955086, 1047.8675388786837]",6.056111403487726,False
1647,21,529,0.8067598342895508,1809,533,0.3,"[-4342.485129720623, 10.567417556730556, 4102.279329224891]","[92.0793597654821, 1081.2264725648183]",5.579806828441682,"[3606.2466214935957, 1051.4782522180449]",4.511847639389738,False
