(3.0, -11.5, 1.0),
(2.88, -11.25, 1.06),
(2.77, -11.0, 1.13),
(2.65, -10.75, 1.2),
(2.5341085487178527, -10.50008921858141, 1.2668059085252972),
(2.4222605939459703, -10.25032008980209, 1.3304431178418707),
(2.3143921688266245, -10.000742941184635, 1.3909363847735978),
(2.2104403906571206, -9.751406084561664, 1.4483098533173313),
(2.1103434582195693, -9.502355903409475, 1.5025870765136329),
(2.0140406477494976, -9.2536369368071, 1.5537910376084345),
(1.9214723076491602, -9.005291960151823, 1.601944170538859),
(1.832579852043642, -8.757362062756574, 1.6470683797745012),
(1.747305753270647, -8.50988672244912, 1.6891850595436444),
(1.665593533388197, -8.262903877287712, 1.728315112472163),
(1.587387754778292, -8.016449994502796, 1.764478967661213),
(1.512634009918867, -7.770560136769548, 1.7976965982282669),
(1.4412789103910928, -7.525268025911315, 1.8279875383345687),
(1.373270075184179, -7.2806061041296, 1.855370899720686),
(1.3085561183553283, -7.036605592851928, 1.879865387770504),
(1.2470866360983113, -6.79329654928485, 1.9014893171227483),
(1.188812193270302, -6.550707920755395, 1.9202606268479117),
(1.1336843094230589, -6.3088675969205354, 1.9361968952073314),
(1.0816554443812871, -6.067802459920666, 1.949315354010068),
(1.032678983408016, -5.827538432549618, 1.959632902582215),
(0.986709221994078, -5.588100524510514, 1.967166121362283),
(0.9437013503062572, -5.349512876823624, 1.9719312851353794),
(0.9036114373263607, -5.111798804449418, 1.9739443759180175),
(0.8663964147113653, -4.874980837187182, 1.9732210955045602),
(0.8320140604028663, -4.639080758906888, 1.969776877685506),
(0.8004229820123018, -4.40411964516945, 1.9636269001470836),
(0.7715826000068376, -4.170117899288066, 1.9547860960609102),
(0.7454531307193518, -3.9370952868810796, 1.9432691653718088),
(0.721995569204653, -3.7050709689645966, 1.9290905857912497),
(0.7011716719628858, -3.4740635336310506, 1.9122646235032974),
(0.6829439395500111, -3.244091026357975, 1.892805343589394),
(0.6672755990942936, -3.01517097898941, 1.8707266201777968),
(0.6541305867368661, -2.787320437430647, 1.8460421463230168),
(0.6434735300136715, -2.5605559880954014, 1.8187654436201544),
(0.6352697301953897, -2.334893783142981, 1.7889098715586327),
(0.6294851446013401, -2.1103495645415915, 1.7564886366194488),
(0.6260863689027945, -1.8869386869925904, 1.7215148011197257),
(0.6250406194306424, -1.6646761397492398, 1.68400129180804),
(0.6263157155019031, -1.4435765673623584, 1.643960908213724),
(0.6298800617791797, -1.2236542893841702, 1.601406330753091),
(0.6357026306767881, -1.0049233190606417, 1.5563501285953185),
(0.6437529448269674, -0.7873973810416502, 1.5088047672905345),
(0.6540010596192714, -0.5710899281374505, 1.4587826161624866),
(0.666417545825967, -0.3560141571490888, 1.4062959554680408),
(0.6809734723260024, -0.1421830237996556, 1.351356983325644),
(0.6976403889398571, 0.07039074320743616, 1.2939778224147986),
(0.7163903093873548, 0.28169462897761544, 1.234170526448528),
(0.7371956943802792, 0.4917163200368344, 1.1719470864207733),
(0.7600294348614127, 0.7004436927414076, 1.1073194366306318),
(0.7848648354013824, 0.9078648024621747, 1.0402994604853477),
(0.8116755977644694, 1.1139678735196439, 0.9708989960839708),
(0.840435804654301, 1.3187412898472286, 0.8991298415836289),
(0.871119903650102, 1.5221735863601227, 0.825003760350401),
(0.9037026913439308, 1.7242534410077581, 0.7485324858968307),
(0.9381592976890671, 1.9249696674881713, 0.6697277266081835),
(0.9744651705694454, 2.124311208602963, 0.5886011702596289),
(1.0125960605997488, 2.3222671302318765, 0.5051644883266113),
(1.0525280061654845, 2.5188266159063497, 0.419429340090762),
(1.094237318712057, 2.7139789619617045, 0.3314073765438049),
(1.1377005682915404, 2.9077135732479387, 0.2411102440920075),
(1.182894569375519, 3.100019959379388, 0.14854958806383378),
(1.2297963669420344, 3.290887731503799, 0.05373705602356374),
(1.2783832228443186, 3.4803065995716396, -0.04331569910624937),
(1.3285130768445232, 3.6683712705722753, 0.006742562472400994),
(1.3801535238241232, 3.8550848159068396, 0.05384011284626516),
(1.4332730366139355, 4.040450382153673, 0.09799265819701743),
(1.4878409429414023, 4.22447117066877, 0.13921555815612557),
(1.5438274027179237, 4.407150418171892, 0.17752383956634063),
(1.601203385654857, 4.58849137828799, 0.212932210000251),
(1.6599406491969204, 4.768497304015735, 0.24545507104501643),
(1.7200117167619218, 4.947171431096975, 0.2751065313613987),
(1.781389856276008, 5.1245169622627635, 0.3019004195242311),
(1.8440490589939555, 5.300537052333368, 0.3258502966505175),
(1.9079640185944295, 5.475234794151212, 0.34696946882042445),
(1.9731101105406, 5.648613205327164, 0.365270999295532),
(2.039463371697024, 5.820675215781875, 0.3807677205378393),
(2.107000480194286, 5.991423656065027, 0.39347224603218356),
(2.1756987355335053, 6.160861246436408, 0.40339698191392775),
(2.245536038923506, 6.328990586693571, 0.41055413840300864),
(2.31649087384414, 6.495814146731676, 0.4149557410447104),
(2.3885422868300186, 6.661334257821677, 0.4166136417568478),
(2.4616698684696683, 6.825553104593602, 0.4155395296824074),
(2.5358537346159364, 6.9884727177120265, 0.41174494184610827),
