,frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method
88,1212,767,586,0.7722839969901619,BG,1468,621,0.2,LK
89,1213,763,581,0.7964953919549048,BG,712,537,0.6063886036065611,BG
90,1214,758,576,0.8085181381420813,BG,721,541,0.6473589826355701,BG
91,1215,754,571,0.8202020201250877,BG,729,546,0.6473589826355701,BG
92,1216,749,567,0.6063886036065611,BG,729,545,0.4,LK
93,1217,748,566,0.4,LK,728,545,0.3,LK
94,1218,747,565,0.3,LK,728,545,0.2,LK
95,1219,746,565,0.2,LK,728,545,0.2,LK
96,1220,746,564,0.2,LK,757,544,0.6737651190752144,BG
97,1221,746,564,0.2,LK,757,543,0.4,LK
98,1222,746,564,0.2,LK,756,543,0.3,LK
99,1223,746,564,0.2,LK,759,543,0.2,LK
100,1224,746,564,0.2,LK,791,542,0.2,LK
101,1225,746,564,0.2,LK,790,542,0.2,LK
102,1226,746,564,0.2,LK,790,542,0.2,LK
103,1238,1714,456,0.3,LK,1532,481,0.6268724475906414,BG
104,1239,1714,456,0.2,LK,1513,473,0.6454032065639491,BG
105,1240,710,496,0.746888190379627,BG,1493,465,0.4,LK
106,1241,710,495,0.4,LK,1474,459,0.7204655244788642,BG/YOLO
107,1242,725,485,0.8852008281297054,BG,1456,453,0.8180677890777588,YOLO
108,1243,732,479,0.736691972164802,BG/YOLO,1434,445,0.6610310931550586,BG
109,1244,740,474,0.6930155469789269,BG,1414,438,0.6283158706666273,BG
110,1245,748,467,0.6637587726969463,BG/YOLO,1393,431,0.6803724298137155,BG
111,1246,757,462,0.7860787726677729,BG,1372,425,0.5962685095939062,BG/YOLO
112,1247,765,456,0.750114377460519,BG,1351,418,0.6458200789189357,BG
113,1248,774,451,0.7658378367775387,BG,1330,412,0.7403744956411749,BG/YOLO
114,1249,783,445,0.7599925760865994,BG,1308,406,0.7317070743314131,BG/YOLO
115,1250,792,439,0.7722840040334601,BG,1286,399,0.6151604695480664,BG
116,1251,802,433,0.7872524305047739,BG/YOLO,1285,399,0.4,LK
117,1252,812,427,0.6113602871594682,BG,1245,389,0.6362380867588684,BG
118,1253,811,426,0.4,LK,1244,388,0.4,LK
119,1254,834,414,0.5363235390601815,BG/YOLO,1244,388,0.3,LK
120,1255,846,408,0.6307238961097634,BG/YOLO,1172,371,0.7728114128112793,YOLO
121,1256,857,402,0.6639006136707796,BG,1173,371,0.4,LK
122,1257,869,396,0.6449160528303446,BG,1123,361,0.5099931359291077,YOLO
123,1258,882,390,0.7860787646289066,BG,1099,356,0.6054370999336243,YOLO
124,1259,894,384,0.7117534373215981,BG/YOLO,1073,351,0.6255685712454342,BG
125,1260,908,377,0.6751342602594989,BG,1048,347,0.6578143738869514,BG
126,1261,922,371,0.7174328213143727,BG,1022,342,0.6366900393527289,BG
127,1262,937,364,0.7086539075806999,BG,996,338,0.7062179976287497,BG/YOLO
128,1263,953,357,0.7439140872108506,BG/YOLO,971,334,0.71364837865749,BG/YOLO
129,1264,969,351,0.6637421629926729,BG,944,330,0.6237599007582988,BG/YOLO
130,1265,986,344,0.6895392855396978,BG,947,328,0.4,LK
131,1266,1004,337,0.6346813829629813,BG,890,322,0.7926229238510132,YOLO
132,1267,1022,330,0.6887376732321433,BG,863,320,0.6400154380146549,BG
133,1268,1306,544,0.7860787654209549,BG,862,319,0.4,LK
134,1269,1062,316,0.7268765387429776,BG/YOLO,862,319,0.3,LK
135,1270,1084,309,0.7556818830286538,BG/YOLO,862,319,0.2,LK
136,1271,1106,302,0.6343081893289951,BG,748,309,0.7549100518226624,YOLO
137,1272,1106,301,0.4,LK,747,308,0.4,LK
138,1273,1157,286,0.8318403363227844,YOLO,747,308,0.3,LK
139,1274,1183,279,0.8034747242927551,YOLO,747,308,0.2,LK
140,1275,1183,279,0.4,LK,747,308,0.2,LK
141,1276,1183,279,0.3,LK,747,308,0.2,LK
142,1277,1183,279,0.2,LK,747,308,0.2,LK
143,1278,1183,279,0.2,LK,747,308,0.2,LK
144,1279,1349,241,0.8361096382141113,YOLO,747,308,0.2,LK
145,1280,1348,240,0.4,LK,747,308,0.2,LK
146,1281,1430,222,0.8528857231140137,YOLO,747,308,0.2,LK
147,1290,1600,167,0.4,LK,117,319,0.4880257844924927,YOLO
148,1291,1600,167,0.3,LK,78,322,0.7635704874992371,YOLO
149,1292,1217,510,0.6504563104738691,BG,78,322,0.4,LK
150,1293,1224,507,0.741141639568941,BG,78,322,0.3,LK
151,1294,1231,504,0.6288121515433458,BG,78,322,0.2,LK
152,1295,1238,501,0.6737651151184011,BG,78,322,0.2,LK
153,1296,1244,498,0.7964953919549048,BG,78,322,0.2,LK
154,1297,1249,494,0.4,LK,78,322,0.2,LK
155,1298,1258,492,0.6251822832777502,BG,78,322,0.2,LK
156,1299,1265,489,0.7964953919549048,BG,78,322,0.2,LK
157,1300,1270,486,0.4,LK,78,322,0.2,LK
158,1301,1276,483,0.3,LK,78,322,0.2,LK
159,1411,1793,409,0.8543787002563477,YOLO,283,451,0.3857709467411041,YOLO
160,1412,1730,425,0.8024829626083374,YOLO,284,454,0.4,LK
161,1418,1465,498,0.7486438803823434,BG/YOLO,486,503,0.8332117199897766,YOLO
162,1419,1427,510,0.7695098470989923,BG/YOLO,490,503,0.4,LK
163,1420,1385,527,0.8559775948524475,YOLO,533,518,0.6649990920263368,BG
164,1421,1857,501,0.5978995561599731,YOLO,565,527,0.7648739218711853,YOLO
165,1422,1326,547,0.7862783074378967,YOLO,564,527,0.4,LK
166,1423,1313,547,0.4,LK,229,353,0.6430287075658971,BG
167,1424,1273,567,0.8224528431892395,YOLO,638,553,0.8133573532104492,YOLO
168,1425,1273,566,0.4,LK,638,553,0.4,LK
169,1426,1196,564,0.3,LK,685,572,0.7378807663917542,YOLO
170,1427,1206,596,0.7435222591062691,BG/YOLO,707,579,0.7005699204209082,BG/YOLO
171,1428,1185,604,0.5353144309728082,BG/YOLO,728,589,0.6639006173840292,BG
172,1429,1166,614,0.5665311656594476,BG/YOLO,751,599,0.8051339983940125,YOLO
173,1430,1148,624,0.6609879549425132,BG,750,598,0.4,LK
174,1431,1131,632,0.6990166276828049,BG,792,616,0.665148477200407,BG/YOLO
175,1432,1115,641,0.792017772627191,BG,813,627,0.6917493175722135,BG
176,1433,1099,649,0.7829315191403073,BG,833,636,0.6664853611069185,BG
177,1434,1084,658,0.7298400636948805,BG/YOLO,853,646,0.7401169535179237,BG/YOLO
178,1435,1071,666,0.6948268271597887,BG,872,656,0.6689953537073591,BG
179,1436,1057,673,0.4,LK,886,654,0.793351728840878,BG
180,1437,1048,672,0.3,LK,894,644,0.7680884177131377,BG/YOLO
181,1438,1043,657,0.6036935466913922,BG,903,635,0.8085181362364084,BG
182,1439,1037,647,0.6079390145634527,BG,912,626,0.8085181428902573,BG
183,1440,1031,637,0.4,LK,921,618,0.691679632232885,BG/YOLO
184,1441,1025,629,0.8174557970063495,BG,930,610,0.7985361814498901,YOLO
185,1442,1020,622,0.8289225697517395,YOLO,939,601,0.7783402421328645,BG
186,1443,1014,613,0.8085181381420813,BG,948,595,0.7948195338249207,YOLO
187,1444,1008,605,0.7908958272640015,BG,956,587,0.7636004745694337,BG
188,1445,1004,604,0.4,LK,964,580,0.4,LK
189,1446,997,590,0.7745507159492427,BG,973,574,0.7655558068381184,BG/YOLO
190,1447,992,584,0.6915631392403954,BG,981,568,0.5628283619880676,YOLO
191,1448,989,583,0.4,LK,990,562,0.6494362456507383,BG/YOLO
192,1449,989,582,0.3,LK,998,557,0.7912165427582412,BG
193,1450,989,582,0.2,LK,1006,551,0.7059936943317515,BG
194,1451,989,582,0.2,LK,1014,547,0.6468145143122059,BG
195,1452,989,582,0.2,LK,1022,542,0.7419766680691412,BG
196,1453,989,582,0.2,LK,1031,538,0.6628303876311875,BG
197,1454,989,582,0.2,LK,1039,534,0.4,LK
