frame_no,A1_x,A1_y,A1_confidence,A1_method,A2_x,A2_y,A2_confidence,A2_method,position_3d_pixels,A1_reprojected_point,A1_error_cm,A2_reprojected_point,A2_error_cm,anomaly_detected,position_3d_pixels_smooth
1173,1312,417,0.4420719146728515,YOLO,761,358,0.4,LK,"[2674.4212397231577, -898.2480875894911, 7995.808638216784]","[2618.754849168099, 825.3798571202514]",6.302736321660368,"[1528.9751284618299, 737.6606126662659]",10.640563949155023,False,"[2674.4212397231577, -898.2480875894911, 8195.916779398614]"
1174,1318,413,0.4,LK,761,358,0.3,LK,"[2732.5413669055506, -915.8328346229555, 8027.8356008205665]","[2628.9584599852897, 822.6097839091001]",3.770737996273048,"[1526.5831401153978, 729.6812335524488]",6.485836307202689,False,"[2732.5413669055506, -915.8328346229555, 8531.950455893852]"
1175,1318,413,0.3,LK,875,381,0.7707192301750183,YOLO,"[3001.645628813996, -869.3563365965349, 8896.682535776969]","[2623.7853051161756, 848.6289087271604]",10.205946706028255,"[1743.0631565163167, 723.7783300647222]",22.194089116771863,False,"[3001.645628813996, -869.3563365965349, 8406.40179333358]"
1176,1234,430,0.4493336379528045,YOLO,909,388,0.8134254813194275,YOLO,"[2129.178071738127, -789.0094699078775, 8712.61418978598]","[2463.0784046422914, 860.0085766473036]",1.279814601661505,"[1818.9222896215597, 780.762107526757]",2.25810986798857,False,"[2129.178071738127, -789.0094699078775, 8649.904625904725]"
1177,1211,435,0.4522290229797363,YOLO,887,392,0.4,LK,"[1844.0176155580666, -751.5630219810787, 8422.25596191667]","[2419.1343980809224, 862.1137379313607]",5.123481175542361,"[1776.8261754369978, 799.9010355474068]",8.142065590914632,False,"[1844.0176155580666, -751.5630219810787, 8811.226674888938]"
1178,1210,435,0.4,LK,971,403,0.632969856262207,YOLO,"[1965.007638707387, -730.8197236810659, 9066.73375558012]","[2415.300978107, 875.8359135684441]",2.135251234986212,"[1941.1946240420655, 799.6273371254763]",3.911438940042622,False,"[1965.007638707387, -730.8197236810659, 8928.550985402586]"
1179,1210,435,0.3,LK,1000,409,0.8163465857505798,YOLO,"[2007.5833566382366, -717.144488764918, 9273.011981716587]","[2414.9040254387764, 881.0313647638343]",5.124335920404425,"[1998.2026437263692, 801.589508212318]",9.82826815381934,False,"[2007.5833566382366, -717.144488764918, 9217.619813303396]"
1182,1108,459,0.4701980054378509,YOLO,1077,432,0.7920382618904114,YOLO,"[960.3074828222661, -528.4557708203575, 9524.765791892678]","[2215.0361679695934, 915.7777763273247]",1.638829133778701,"[2154.677159203211, 868.8860431382021]",2.752141804664374,False,"[960.3074828222661, -528.4557708203575, 9416.211432442811]"
1183,1107,458,0.4,LK,1078,433,0.4,LK,"[949.3441088384607, -531.0920273243839, 9528.974065444172]","[2212.9713070754096, 915.3768759786531]",0.7145395259959092,"[2156.519013855692, 868.291380560141]",1.19898448780768,False,"[949.3441088384607, -531.0920273243839, 9597.22974580283]"
1184,1107,458,0.3,LK,1095,425,0.3,LK,"[963.6981866372843, -564.0665451223298, 9659.263389996193]","[2213.2170378830724, 911.1445671431167]",3.2167845159649993,"[2191.2152741716036, 859.4321261248981]",5.528306074892116,False,"[963.6981866372843, -564.0665451223298, 9932.070274533411]"
1190,978,504,0.4772817194461822,YOLO,1228,399,0.3,LK,"[-490.2149945384495, -420.2418231860323, 10539.158128905054]","[1960.464067179194, 940.5928841846857]",43.37908126471641,"[2469.254389181583, 902.7417675576986]",69.24548698599212,True,"[-490.2149945384495, -420.2418231860323, 10315.60447045656]"
1191,978,504,0.4,LK,1261,500,0.8276185989379883,YOLO,"[-530.976802806216, 23.754492640297524, 10784.10585414397]","[1955.7586472575908, 1007.4912332689304]",0.3688621596445355,"[2527.961048245569, 1002.6090358234063]",0.6081553611260797,False,"[-530.976802806216, 23.754492640297524, 10708.855061015673]"
1192,978,504,0.3,LK,1277,508,0.7636806964874268,YOLO,"[-535.8640692053352, 57.50066595097961, 10915.376052772055]","[1956.008131107523, 1012.3644822072253]",2.8686546339153955,"[2561.234136441398, 1011.0131990895958]",4.81795609294418,False,"[-535.8640692053352, 57.50066595097961, 10982.498187059433]"
1193,937,518,0.6232188940048218,YOLO,1292,515,0.4,LK,"[-1073.5794288503898, 204.44063112506797, 11045.073629226119]","[1872.8867062172392, 1033.417642801394]",1.9493651373972696,"[2591.8541167990084, 1036.8623104768053]",3.107707608504352,False,"[-1073.5794288503898, 204.44063112506797, 10894.927449472547]"
1194,937,516,0.4,LK,1309,523,0.8123478889465332,YOLO,"[-1084.9954067560498, 226.8564185217182, 11192.526357260092]","[1873.3369233249537, 1036.2141125688584]",2.6776122784271537,"[2627.649635606505, 1042.634719715134]",4.351881022220274,False,"[-1084.9954067560498, 226.8564185217182, 11327.510265967701]"
1195,937,519,0.3,LK,1323,530,0.4,LK,"[-1096.0779963893178, 280.9592916620266, 11313.387009940108]","[1873.4336828667304, 1043.4730765303818]",3.5567432571498174,"[2656.9970677361775, 1054.9841277538076]",5.869614404821234,False,"[-1096.0779963893178, 280.9592916620266, 11902.37238022695]"
1210,777,598,0.5210360288619995,YOLO,1482,622,0.3,LK,"[-3798.970053305331, 1619.4464251069448, 13191.807880147315]","[1543.2508574295057, 1199.1677569870737]",1.4022694353956908,"[2995.5992667333585, 1258.7899067241103]",2.151080647193806,False,"[-3798.970053305331, 1619.4464251069448, 12442.380829776463]"
1243,733,479,0.7826771140098572,YOLO,1435,446,0.4,LK,"[-4305.69134193225, -439.9953592530766, 12687.03642048336]","[1454.4439993508888, 948.850227043392]",8.257082998809906,"[2890.9678512139208, 908.6846034343206]",11.469006367566427,False,"[-4305.69134193225, -439.9953592530766, 12700.39461294966]"
1244,733,478,0.4,LK,1415,439,0.3,LK,"[-4226.883998307031, -487.6688358619766, 12457.73627642194]","[1454.5810439277934, 941.7510677656114]",11.955193812057589,"[2848.841059939029, 900.6867118302374]",16.280187270748446,False,"[-4226.883998307031, -487.6688358619766, 12583.161913194876]"
1246,744,467,0.4,LK,1373,425,0.5048878788948059,YOLO,"[-3895.144456295623, -648.3981371992402, 11957.919480430242]","[1478.010978769179, 917.7794002682441]",12.62791365297296,"[2760.6916315790354, 873.465732357327]",16.71461716245155,False,"[-3895.144456295623, -648.3981371992402, 12016.689378020108]"
1247,744,467,0.3,LK,1351,418,0.4,LK,"[-3813.2843086961616, -685.0543692026823, 11713.549883723692]","[1478.3443119385984, 911.0054669579201]",17.204552390724842,"[2715.3071415660243, 867.1985078011514]",22.259257485928813,False,"[-3813.2843086961616, -685.0543692026823, 11700.387312670842]"
1248,775,452,0.3764563202857971,YOLO,1331,413,0.8014023900032043,YOLO,"[-3303.083294259495, -809.8967495562623, 11458.394217537982]","[1542.7531202960097, 891.6124957830227]",9.043839606645856,"[2672.931045105505, 843.3630623678163]",11.925270876587597,False,"[-3303.083294259495, -809.8967495562623, 11428.868290877715]"
1249,784,446,0.4,LK,1309,406,0.840351939201355,YOLO,"[-3111.41326258458, -882.7074054529575, 11217.676269616477]","[1561.587480602038, 878.8814463807113]",9.256951466721322,"[2627.485295625143, 829.7429983604444]",12.064186544883713,False,"[-3111.41326258458, -882.7074054529575, 11416.092333607752]"
1250,783,446,0.3,LK,1309,405,0.4,LK,"[-3124.6681633271073, -888.8970414059701, 11218.38130246817]","[1559.57610258237, 878.0120961465279]",9.856272444411951,"[2627.584116795606, 828.8083818371229]",12.828545466558053,False,"[-3124.6681633271073, -888.8970414059701, 11133.857873567922]"
1251,802,434,0.7917252779006958,YOLO,1309,406,0.3,LK,"[-2869.9793954893225, -961.7427328641382, 11201.656065113257]","[1598.1428274623363, 867.4846865338453]",0.4827655236207614,"[2626.2664375800305, 813.5710838109869]",0.6445860576875514,False,"[-2869.9793954893225, -961.7427328641382, 10766.520967558934]"
1255,846,409,0.5539944171905518,YOLO,1172,371,0.7728114128112793,YOLO,"[-1997.9497859883506, -1233.389763327085, 9838.113443620046]","[1689.938692732271, 804.6655857603154]",8.02896398204896,"[2348.007294684006, 758.0398123410199]",9.722455292123117,False,"[-1997.9497859883506, -1233.389763327085, 10304.735779033972]"
1256,846,409,0.4,LK,1173,371,0.4,LK,"[-2000.0470802841294, -1233.9289132022839, 9848.035498378105]","[1689.9242536569727, 804.7793652102911]",7.96832031931769,"[2350.0158787880882, 757.9244188280157]",9.661032092152086,False,"[-2000.0470802841294, -1233.9289132022839, 9768.311854926103]"
1257,902,416,0.3,LK,1123,361,0.5099931359291077,YOLO,"[-1286.2975588115346, -1188.0752121214132, 9466.983741246271]","[1806.0676627038679, 804.4618000137356]",16.051132423660547,"[2252.018636057983, 755.5404786299031]",19.84710839262196,False,"[-1286.2975588115346, -1188.0752121214132, 9474.636092057535]"
1259,895,384,0.7483726143836975,YOLO,1099,356,0.4,LK,"[-1340.3678826465414, -1394.7635281403311, 9193.11735924285]","[1788.9114908170573, 762.7721603581608]",3.0690340233627293,"[2199.6553597463485, 718.80075445222]",3.630862847574386,False,"[-1340.3678826465414, -1394.7635281403311, 9275.57740005354]"
1260,894,383,0.4,LK,1099,356,0.3,LK,"[-1351.350031382683, -1401.137913991825, 9189.920156264356]","[1786.7590468514052, 761.5854404735463]",2.608613765921747,"[2199.5003494433736, 717.8630021640812]",3.0813545679914527,False,"[-1351.350031382683, -1401.137913991825, 8780.779095798754]"
1263,954,357,0.8015046715736389,YOLO,972,334,0.8039777874946594,YOLO,"[-616.2218408488461, -1537.978390614147, 8114.617035334157]","[1909.6206832429868, 702.6522576083029]",6.188053396296943,"[1947.1790574336208, 681.7840226147104]",6.659557630592796,False,"[-616.2218408488461, -1537.978390614147, 8528.708542525146]"
1264,954,357,0.4,LK,945,330,0.6350889801979065,YOLO,"[-585.4112878380333, -1538.6241759736233, 7858.925106268151]","[1912.1255908121227, 692.7175484402745]",10.892555088001172,"[1895.853176877782, 683.2289739928583]",11.226611904658032,False,"[-585.4112878380333, -1538.6241759736233, 8012.828315271942]"
1265,991,366,0.3,LK,948,328,0.4,LK,"[-251.02357544515152, -1487.4579941760412, 8030.570997662986]","[1986.8225099735976, 709.50061903177]",11.85324419549666,"[1902.6860018973796, 682.3316787966162]",13.086123350080554,False,"[-251.02357544515152, -1487.4579941760412, 7391.089452819352]"
1271,1083,309,0.4,LK,748,309,0.7549100518226624,YOLO,"[495.96589406092403, -1646.8899046227198, 6364.804508865625]","[2175.4705157303574, 592.6030796926316]",12.116543388108438,"[1507.59051626487, 644.0816224390377]",10.612497179706343,False,"[495.96589406092403, -1646.8899046227198, 6663.491955167366]"
